startNode,endNode,blocked,heat
ACONF00102,AHALL00102,false,0
ACONF00103,AHALL00503,false,227
ADEPT00101,AHALL00401,false,227
ADEPT00102,AHALL00502,false,227
AHALL00601,ADEPT00201,false,227
AHALL00701,ADEPT00301,false,227
AELEV00S01,AHALL00801,false,226
AELEV00SL2,AELEV00S01,false,11
AELEV00S01,AELEV00S02,false,218
AELEV00S01,AELEV00S03,false,12
AELEV00S02,AHALL00402,false,225
AELEV00SL2,AELEV00S02,false,215
AELEV00S02,AELEV00S03,false,216
AELEV00S03,AHALL00103,false,227
AELEV00SL2,AELEV00S03,false,9
AHALL001L2,AELEV00SL2,false,227
AHALL002L2,AEXIT001L2,false,227
AHALL00101,AHALL00901,false,2
ASTAI00101,AHALL00101,false,212
AHALL01001,AHALL00101,false,0
ARETL00101,AHALL00101,false,227
AHALL00201,AHALL00101,false,15
AHALL00202,AHALL00102,false,227
AHALL00602,AHALL00102,false,227
AHALL00203,AHALL00103,false,227
AHALL002L2,AHALL001L2,false,227
AHALL01001,AHALL00201,false,0
AHALL00301,AHALL00201,false,19
ASTAI00101,AHALL00201,false,224
AHALL00201,AHALL00901,false,16
AHALL00302,AHALL00202,false,226
ASTAI00102,AHALL00202,false,224
ALABS00103,AHALL00203,false,227
AHALL00303,AHALL00203,false,227
AINFO001L2,AHALL002L2,false,227
AHALL002L2,AHALL003L2,false,227
AHALL00801,AHALL00301,false,15
AHALL00401,AHALL00301,false,7
AHALL00402,AHALL00302,false,226
ALABS00203,AHALL00303,false,227
AHALL00403,AHALL00303,false,227
AHALL003L2,AHALL004L2,false,227
AHALL00401,AHALL00801,false,223
AHALL00501,AHALL00401,false,227
AHALL00502,AHALL00402,false,227
AHALL00503,AHALL00403,false,227
AHALL004L2,ALABS001L2,false,227
AHALL00701,AHALL00501,false,227
AHALL00601,AHALL00501,false,227
AHALL00603,AHALL00503,false,227
AHALL00602,WHALL01002,false,227
AREST00103,AHALL00603,false,227
AREST00101,AHALL00901,false,227
AHALL00901,AHALL01001,false,211
AHALL01001,ASTAI00101,false,211
ASTAI00102,ASTAI00101,false,216
BCONF00102,BHALL03402,false,227
BSTAI00202,BHALL03802,false,227
BDEPT00102,BHALL03802,false,227
BHALL03602,BHALL03802,false,227
BDEPT00202,BHALL03402,false,227
BDEPT00302,WELEV00J02,false,80
BHALL00502,BDEPT00302,false,148
BHALL00502,BDEPT00402,false,226
BDEPT00402,BHALL00602,false,219
BHALL01802,BDEPT00502,false,178
BHALL01902,BDEPT00502,false,144
BDEPT00602,BHALL03302,false,0
BSTAI00502,BDEPT00702,false,227
BDEPT00702,BHALL01702,false,0
BHALL01302,BDEPT00802,false,227
BDEPT00802,BSTAI00602,false,227
BDEPT00902,WELEV00E02,false,31
BDEPT00902,BHALL01402,false,217
BSTAI00602,BDEPT00902,false,223
BSTAI00102,BHALL00102,false,217
BHALL00102,BHALL00202,false,225
BHALL00102,BSTAI01002,false,213
BHALL00202,BHALL00502,false,218
BHALL00202,BSTAI00202,false,227
BHALL00302,BHALL03402,false,227
BHALL00302,WELEV00K02,false,126
BHALL03502,BHALL00302,false,148
BSTAI01002,BHALL00302,false,113
BHALL00402,BLABS00102,false,227
BHALL00402,BREST00302,false,227
BHALL00402,BHALL03102,false,211
BHALL03502,BHALL00402,false,148
BHALL00502,WELEV00J02,false,165
BHALL00602,BHALL00702,false,226
BHALL00602,BREST00202,false,227
BHALL00602,BHALL01802,false,178
BHALL00702,BHALL01002,false,227
BHALL00702,BHALL01502,false,0
BREST00202,BHALL00802,false,227
BHALL00802,BSTAI00302,false,227
BHALL00902,BHALL03702,false,0
BHALL01002,BHALL01602,false,0
BHALL01102,BHALL01002,false,180
BHALL01102,BHALL01202,false,212
BHALL01102,BHALL02302,false,166
BHALL01202,BHALL01302,false,216
BHALL01202,BSTAI00502,false,172
BHALL01202,WELEV00G02,false,191
BHALL01302,BINFO00202,false,20
BHALL01402,WHALL00102,false,227
BHALL02602,BHALL01402,false,46
BHALL01902,BHALL02002,false,118
BHALL01902,BHALL04102,false,91
BHALL02002,BHALL02102,false,226
BHALL02002,BHALL04202,false,159
BHALL02102,BSERV00102,false,227
BHALL02202,BHALL02102,false,149
BHALL02202,BHALL02302,false,149
BHALL02302,BINFO00102,false,196
BINFO00202,BHALL02502,false,217
BHALL02502,BHALL02602,false,53
BHALL02602,BHALL02702,false,0
BHALL02702,BHALL02802,false,0
BHALL04402,BHALL02802,false,166
BHALL04302,BHALL02902,false,204
BREST00502,BHALL02902,false,212
BHALL03002,BSTAI00702,false,191
BHALL03002,BREST00502,false,208
BHALL03002,BHALL03302,false,202
BHALL03102,BSTAI00802,false,227
BHALL03102,BHALL03302,false,180
BREST00402,BHALL03202,false,0
BINFO00102,BLABS00202,false,227
BINFO00102,BHALL04402,false,204
BINFO00202,WELEV00F02,false,57
BHALL04402,BINFO00202,false,199
BREST00102,BHALL03402,false,227
BREST00302,BSTAI00902,false,223
BSTAI00802,BREST00402,false,227
WHALL00402,BSTAI00102,false,225
BSTAI00502,WELEV00G02,false,57
BSTAI00602,WELEV00E02,false,200
BSTAI00702,ESTAI00301,false,135
BSTAI00802,ESTAI00401,false,206
BSTAI00902,WHALL00602,false,210
BSTAI01002,WELEV00K02,false,140
BHALL03702,BHALL03602,false,227
BHALL04102,WELEV00H02,false,101
BHALL04102,BHALL04202,false,65
BHALL04202,WELEV00H02,false,150
BHALL04202,BHALL04302,false,214
BHALL04402,WELEV00F02,false,194
CHALL015L1,CCONF001L1,false,227
CCONF002L1,WELEV00HL1,false,203
CSERV001L1,CCONF002L1,false,214
CCONF003L1,CHALL002L1,false,135
CHALL003L1,CCONF003L1,false,166
CDEPT002L1,CDEPT003L1,false,207
CHALL013L1,CDEPT002L1,false,164
CDEPT003L1,CHALL014L1,false,139
CDEPT004L1,CHALL002L1,false,221
CHALL008L1,CDEPT004L1,false,217
CHALL001L1,CREST001L1,false,142
WELEV00LL1,CHALL001L1,false,142
CHALL001L2,WELEV00JL2,false,107
CLABS001L2,CHALL001L2,false,107
CHALL002L1,CSERV001L1,false,226
CHALL002L2,CREST001L2,false,171
CHALL003L2,CHALL002L2,false,171
CHALL003L1,CLABS004L1,false,168
CLABS005L1,CHALL003L1,false,97
CHALL003L2,WELEV00KL2,false,222
CHALL004L2,CHALL003L2,false,163
CHALL004L1,CREST004L1,false,143
WELEV00HL1,CHALL004L1,false,143
CHALL010L2,CHALL004L2,false,52
CHALL005L1,WELEV00ML1,false,112
CLABS002L1,CHALL005L1,false,112
CHALL005L2,CHALL006L2,false,114
CHALL005L2,WELEV00ML2,false,185
WHALL001L2,CHALL005L2,false,210
CHALL006L1,CHALL007L1,false,186
CLABS003L1,CHALL006L1,false,156
CREST002L1,CHALL006L1,false,216
CHALL006L2,CHALL007L2,false,104
CHALL007L1,CHALL008L1,false,188
CHALL007L2,CHALL008L2,false,210
CHALL008L1,WELEV00KL1,false,172
CHALL008L2,CHALL009L2,false,78
CHALL008L2,WELEV00LL2,false,154
CHALL009L1,CHALL010L1,false,171
CHALL009L1,CRETL001L1,false,216
WELEV00KL1,CHALL009L1,false,220
CHALL009L2,CHALL010L2,false,48
CHALL010L1,CREST003L1,false,171
CHALL011L1,WELEV00JL1,false,131
CHALL015L1,CHALL011L1,false,131
CHALL012L1,CHALL013L1,false,144
CRETL001L1,CHALL012L1,false,155
CHALL014L1,WELEV00LL1,false,139
CREST003L1,CHALL015L1,false,217
CLABS001L1,CREST002L1,false,219
WELEV00ML1,CLABS001L1,false,207
CREST001L2,CLABS001L2,false,217
CLABS002L1,CREST001L1,false,216
CLABS002L2,WELEV00KL2,false,203
CSERV001L2,CLABS002L2,false,195
CLABS004L1,CLABS003L1,false,227
CREST004L1,CLABS005L1,false,216
CREST002L2,CSERV001L2,false,220
WELEV00ML2,CREST002L2,false,201
DHALL01402,DELEV00A02,false,227
DHALL03002,DELEV00B02,false,227
DHALL03702,DELEV00C02,false,227
DHALL05602,DELEV00D02,false,227
DHALL03002,DREST00102,false,227
DHALL03902,DREST00202,false,227
DHALL04902,DREST00302,false,227
DHALL05202,DREST00402,false,227
DHALL02702,DINFO00102,false,227
DHALL05302,DINFO00202,false,227
DHALL02502,DDEPT00102,false,227
DHALL02502,DDEPT00202,false,227
DHALL03902,DDEPT00302,false,227
DDEPT00302,DHALL04002,false,227
DHALL05802,DDEPT00402,false,227
WHALL00202,DDEPT00402,false,227
DHALL04502,DLABS00102,false,227
DHALL01202,DCONF00102,false,227
DHALL02102,DRETL00102,false,227
DHALL02502,DEXIT00102,false,227
DHALL00902,DSTAI00102,false,227
DHALL01802,DSTAI00202,false,227
DSTAI00202,DHALL01902,false,227
DHALL02202,DSTAI00302,false,227
DHALL02802,DSTAI00402,false,227
DHALL03202,DSTAI00502,false,227
DHALL03602,DSTAI00602,false,227
DHALL04002,DSTAI00702,false,227
DHALL05102,DSTAI00802,false,227
DHALL00102,DHALL00202,false,0
DHALL00202,DHALL00302,false,227
DHALL00302,DHALL00402,false,0
DHALL00302,DHALL00502,false,227
DHALL00502,DHALL00602,false,227
DHALL00602,DHALL00702,false,227
DHALL00702,DHALL00802,false,227
DHALL00802,DHALL00902,false,227
DHALL00902,DHALL01002,false,227
DHALL01002,DHALL01102,false,227
DHALL01102,DHALL01202,false,227
DHALL01202,DHALL01302,false,227
DHALL01202,DHALL01502,false,227
DHALL01302,DHALL01402,false,227
DHALL01502,DHALL01602,false,227
DHALL01602,DHALL01702,false,0
DHALL01602,DHALL01802,false,227
