startNodeID,endNodeID,blocked
CHALL002L1,CHALL002L1,false
CDEPT003L1,CDEPT003L1,false
CREST004L1,CREST004L1,false
WELEV00KL1,WELEV00KL1,false
CHALL010L1,CHALL010L1,false
CREST003L1,CREST003L1,false
CHALL013L1,CHALL013L1,false
WELEV00LL1,WELEV00LL1,false
CHALL011L1,CHALL011L1,false
CHALL005L1,CHALL005L1,false
CHALL006L1,CHALL006L1,false
CHALL003L1,CHALL003L1,false
CHALL015L1,CHALL015L1,false
CHALL012L1,CHALL012L1,false
CHALL004L1,CHALL004L1,false
CLABS001L1,CLABS001L1,false
GHALL002L1,GHALL002L1,false
GHALL004L1,GHALL004L1,false
GSTAI008L1,GSTAI008L1,false
GELEV00QL1,GELEV00QL1,false
CHALL002L1,CHALL002L1,false
CHALL008L1,CHALL008L1,false
WELEV00HL1,WELEV00HL1,false
CHALL014L1,CHALL014L1,false
WELEV00ML1,WELEV00ML1,false
CDEPT004L1,CDEPT004L1,false
CRETL001L1,CRETL001L1,false
WELEV00JL1,WELEV00JL1,false
CDEPT002L1,CDEPT002L1,false
CCONF001L1,CCONF001L1,false
CREST002L1,CREST002L1,false
CREST001L1,CREST001L1,false
CLABS003L1,CLABS003L1,false
CHALL006L1,CHALL006L1,false
CLABS005L1,CLABS005L1,false
CCONF002L1,CCONF002L1,false
CHALL009L1,CHALL009L1,false
CHALL001L1,CHALL001L1,false
GHALL003L1,GHALL003L1,false
GHALL005L1,GHALL005L1,false
GHALL006L1,GHALL006L1,false
CCONF003L1,CCONF003L1,false
CSERV001L1,CSERV001L1,false
CREST001L1,CREST001L1,false
CHALL007L1,CHALL007L1,false
CLABS004L1,CLABS004L1,false
